#dig start(10;10;Top left corner of central staircase) The core 20squared surface digging layout. This just builds downward stairs to connect to lower 40squared levels.,,,,,,,,,,,,,,,,,,,,
`,`,`,`,`,`,`,`,`,~,~,`,`,`,`,`,`,`,`,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
~,,,,,,,,,j,j,,,,,,,,,~,#
~,,,,,,,,,j,j,,,,,,,,,~,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,`,#
`,`,`,`,`,`,`,`,`,~,~,`,`,`,`,`,`,`,`,`,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
