#build Covers the entire path of the maze with stonefall traps.,,,,,,,,,,,,,,,,,,,,
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,`,#
`,Ts,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,Ts,`,#
`,Ts,`,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,`,Ts,`,#
`,Ts,`,Ts,`,`,`,`,`,`,`,`,`,`,`,`,Ts,`,Ts,`,#
`,Ts,`,Ts,`,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,`,Ts,`,Ts,`,#
`,Ts,`,Ts,`,Ts,`,`,`,`,`,`,`,Ts,`,`,Ts,`,Ts,`,#
`,Ts,`,Ts,`,Ts,`,Ts,Ts,Ts,Ts,`,Ts,`,`,Ts,`,`,Ts,`,#
`,Ts,`,Ts,`,Ts,`,Ts,`,Ts,Ts,`,Ts,`,Ts,`,`,Ts,`,`,#
~,Ts,`,Ts,`,Ts,`,Ts,`,`,Ts,`,Ts,`,Ts,`,Ts,`,`,~,#
~,`,`,Ts,`,Ts,`,Ts,`,Ts,Ts,`,Ts,`,Ts,`,Ts,`,Ts,~,#
`,`,Ts,`,`,Ts,`,Ts,`,Ts,`,`,Ts,`,Ts,`,Ts,`,Ts,`,#
`,Ts,`,`,Ts,`,`,Ts,`,Ts,Ts,Ts,Ts,`,Ts,`,Ts,`,Ts,`,#
`,Ts,`,Ts,`,`,Ts,`,`,`,`,`,`,`,Ts,`,Ts,`,Ts,`,#
`,Ts,`,Ts,`,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,`,Ts,`,Ts,`,#
`,Ts,`,Ts,`,`,`,`,`,`,`,`,`,`,`,`,Ts,`,Ts,`,#
`,Ts,`,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,`,Ts,`,#
`,Ts,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,Ts,`,#
`,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,Ts,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
