"#dig Standard floorplan, 19x19",,,,,,,,,,,,,,,,,,,
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,c,c,c,c,c,,,,,,,,#
,,,,,,,c,v,v,v,c,,,,,,,,#
`,`,`,`,`,`,`,c,v,#,v,c,`,`,`,`,`,`,`,#
,,,,,,,c,v,v,v,c,,,,,,,,#
,,,,,,,c,c,c,c,c,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
