#build start(15;15;Top left corner of central staircase) Basic embarking starter kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`,`,`,`,`,`,`,`,`,`,`,`,`,`,~,~,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,`,`,`,,`,`,`,,`,`,`,,,,,,,`,#
`,,,,,,,,,,,,`,wm,`,,`,wm,`,,`,wr,`,,,,,,,`,#
`,,,,,,,,,,,,`,`,`,,`,`,`,,`,`,`,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,`,`,`,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,`,wt,`,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,`,`,`,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
~,,,,,,,,,,,,,,~,~,,,,,,,,,,,,,,~,#
~,,,,,,,,,,,,,,~,~,,,,,,,,,,,,,,~,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,`,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,`,wc,`,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,`,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,`,`,`,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,`,wb,`,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,`,`,`,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,~,~,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
