#build Requires 70 mechanisms. Edit the file to use a trap other than stone-fall trap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,Ts,Ts,Ts,Ts,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,Ts,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,Ts,Ts,Ts,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,Ts,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,Ts,Ts,Ts,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,Ts,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,Ts,Ts,Ts,Ts,Ts,Ts,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ts,,#
,,,,,,,,,,,,,,,,,,,,,,,,Ts,Ts,Ts,Ts,Ts,Ts,,#
,,,,,,,,,,,,,,,,,,,,,,,,Ts,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,Ts,Ts,Ts,Ts,Ts,Ts,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ts,,#
,,,,,,,,,,,,,,,,,,,,,,,,Ts,Ts,Ts,Ts,Ts,Ts,,#
,,,,,,,,,,,,,,,,,,,,,Ts,,,Ts,,,,,,,#
,,,,,,,,,,,,,,,,,,,,Ts,Ts,,,Ts,Ts,Ts,Ts,Ts,Ts,,#
,,,,,,,,,,,,,,,,,,,Ts,Ts,Ts,,,,,,,,Ts,,#
,,,,,,,,,,,,,,,,,,Ts,Ts,Ts,Ts,,,Ts,Ts,Ts,Ts,Ts,Ts,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
