#dig,,,,,,,,,,,
d,d,d,d,d,d,d,d,d,d,d,#
d,,,,,,,,,,d,
d,d, ,,,,,,,,d,#
d,d,d, ,,,,,,,d,#
d,d,d,d, ,,,,,,d,#
d,r,r,r,r, ,r,r,r,r,d,#
d,,,,,, ,d,d,d,d,#
d,,,,,,, ,d,d,d,#
d,,,,,,,,,d,d,#
d,,,,,,,, ,,d,#
d,d,d,d,d,d,d,d,d,d,d,#
#>,#,#,#,#,#,#,#,#,#,#,#
d,d,d,d,d,d,d,d,d,d,d,#
d,r,d,d,d,,,,,,d,#
d,,r,d,d, ,,,,,d,#
d,, ,r,d, ,,,,,d,#
d,,, ,r, ,,,,,d,#
d,,,, , ,,,,,d,#
d,,,,, ,r,,,,d,#
d,,,,, ,d,r,,,d,#
d,,,,, ,d,d,r,,d,#
d,,,,,,d,d,d,r,d,#
d,d,d,d,d,d,d,d,d,d,d,#
#>,#,#,#,#,#,#,#,#,#,#,#
d,d,d,d,d,d,d,d,d,d,d,#
d, ,,,,r,d,d,d,,d,#
d,,,,,r,d,d,,,d,#
d,,,,,r,d, ,,,d,#
d,,,,,r, ,,,,d,#
d,,,,, ,,,,,d,#
d,,,, ,r,,,,,d,#
d,,, ,d,r,,,,,d,#
d,,,d,d,r,,,,,d,#
d,,d,d,d,r,,,,,d,#
d,d,d,d,d,d,d,d,d,d,d,#
#>,#,#,#,#,#,#,#,#,#,#,#
d,d,d,d,d,d,d,d,d,d,d,#
d,,,,,,,,,r,d,#
d,,,,,,,,r,d,d,#
d,,,,,,,r,d,d,d,#
d,,,,,,r,d,d,d,d,#
d,, , , , ,,,,,d,#
d,d,d,d,r,,,,,,d,#
d,d,d,r,,,,,,,d,#
d,d,r,,,,,,,,d,#
d,r,,,,,,,,,d,#
d,d,d,d,d,d,d,d,d,d,d,#
 ,, , , , , , , ,, , 
 ,, , , , , ,  , ,, ,
