#dig start(34;43; center X) Caramel's circular bedroom plan. 120 bedrooms. Hollow the central rooms out for dining rooms or as you will,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,









,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,, , , , ,d,d,d,d,d,d,d,d,d,d,d, , , , ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,, , , ,d,d,d,d,,, ,d,,d,,d,,,d,d,d,d,d, , , ,,,,,
,,,,,,,,,,,,,,,,,,, ,d,d,d,d,,d,,,d,,d,d,,d,,d,d,,d,,,d,,d,d,d,d, ,,,
,,,,,,,,,,,,,,,,, , ,d,,,d,,,d,,d,d,,d,d,,d,,d,d,,d,d,,d,,,d,,d,d, , ,
,,,,,,,,,,,,,,,, ,d,d,,, ,d,,d,d,,d,d,, , ,,d,,,,,d,d,,d,d,,d, ,,,d,d, 
,,,,,,,,,,,,,,, ,d,,,d,,d,d,,d,d,,,,,d,d,,d,,d,d,, , ,,d,d,,d,d,,d,,,d,d, ,,,,,,,,,,,,
,,,,,,,,,,,,,,d,d,,,d,d,,d,d,,,,,d,d,,d,d,,d,,d,d,,d,d,,,,,d,d,,d,d,,d, ,d,d,,,,,,,,,,,
,,,,,,,,,,,,,d, ,,d,,d,d,,,,,d,d,,d,d,,d,d,,d,,d,d,,d,d,,d,d,, , ,,d,d,,d,,, ,d,,,,,,,,,,
,,,,,,,,,,,,d, ,,d,d,,,,,d,d,,d,d,,d,d,,,d,,d,,d,,,d,d,,d,d,,d,d,,,,,d,d,,, ,d,,,,,,,,,
,,,,,,,,,,,d, ,,,d,d,,d,d,,d,d,,,d,,,d,,,d,d,d,d,d,,,d,,,d,,,d,d,,d,d,,d,d,,,,,d,,,,,,,,
,,,,,,,,,,d,d,,,,,,,d,d,,,,d,,,d,d,d,d,d,,,d,,,d,d,d,d,d,,,d,,,,d,d,,,,,,,d,,d,,,,,,,
,,,,,,,,,d,,,d,,,d,d,,d,d,,,,,d,d, ,,,,,,,d,,,,,,,,d,d,d,,,,d,d,,d,d,,,d,,,,d,,,,,,
,,,,,,,,d,,,,,d,,d,d,,,d,,,d,d, ,,,,,d,d,d,,d,,d,d,d,,,,,,,d,,d,,,,d,d,,d,,,,,,d,,,,,
,,,,,,,d,,,,,,,d,,,,,,d,d, ,,,d,d,d,,d,d,d,,d,,d,d,d,,d,d,d,,,,d,d,,,,,,d,,,,,,,d,,,,,
,,,,,, ,d,,d,d,,d,d,,d,,,,d,, ,,,,d,d,d,,d,d,d,,d,,d,d,d,,d,d,d,,,,,,d,,,,d,,d,d,,d,d, , ,d,,,,
,,,,,,d,,d,d,d,,d,d,,,d,,d, , ,d,d,d,,d,d,d,,,,d,,d,,d,,,,d,d,d,,d,d,d,,,d,,d,,,d,d,,d,d,d,d,,d, ,,
,,,,,d,,,,,,,,,,,,d,, ,,d,d,d,,,,d,,,,d,d,d,d,d,,,,d,,,,d,d,d,,,,d,,,,,,,,,,,,d, , ,
,,,,,d, ,d,d,,d,d,d,,,,d,,d,,,d,d,d,,,,d,d,d,d,,,d,,,d,d,d,d,,,,d,d,d,,,d,,d,,,,d,d,d,,d,d,,,d, ,
,,,,d,,d,d,d,,d,d,d,,,d,, , ,d,,,,d,,d,d,,,,,,,d,,,,,,,d,d,,d,,,,d,,,,d,,,d,d,d,,d,d,d,d,d, , 
,,,,d,,,,,,,,,d,d,,, ,,,d,,,,d,,,,,,,,,d,,,,,,,,,d,,,,d,,,,,,d,d,,,,,,,,,,d,
,,,d,,,d,d,,d,d,,,,d,,d,d,d,,,d,,d,,,,,,,,,,d,,,,,,,,,,d,,d,,,d,d,d,,d,,, ,d,d, ,d,d, ,,d,
,,,d,d,d,d,d,,d,d,,,d,,,d,d,d,,,,d,,,,,,,,,,,d,, , , ,,,,,,,d,,,,d,d,d,,,d,, ,d,d, ,d,d,d,d,d,,
,,,d,,,,,,,,d,d,,,,d,d,d,d,,d,,d,,,,,,,,,,d,,  , , ,,,,,,d,,d,,d,d,d,d,,,d,,d,,,,,,,,,d,
,,d,,,d,d,,d,d,,,d,,, ,,,,,d,,,,d,,,,,,,,,d,, , , ,,,,,d,,,,d,,,,,,,,d,, ,d,d,,d,d,,,d,
,,d,d,d,d,d,,d,d,d,,d,,d,d,d,,,d,,,,,,d,,,,,,, ,d, , ,,,,,,d,,,,,,d,,,d,d,d,,d,,d,d,d,,d,d,d,d,d,
,,d,,,,,,,,,d,,,d,d,d,,,d,,,,,,,d,,,,,d,d,d,d,d,,,,,d,,,,,,,d, ,,d,d,d,,,d,,,,,,,,,d,
,,d,,d,d,,d,d,d,,d,,,d,d,d,d,d,,,,,,,,, d, ,d,d,,,d,, ,d,d, ,d,,,,,,,,,d,d,d,d,d,,,d,,d,d,d,,d,d,,d, 
,d,,d,d,d,,d,d,d,d,d,,,, ,,,d, ,,,,,, , ,,d, ,,,,d,,,,,d,, , ,,,,,,,d,,,,,,,d,d,d,d,d,,d,d,d, ,d
,d,,,,,,,,,,d,,d,d,d,,,d, , , ,,, ,,,d, ,d,,,,d,,,,d,,d,,, ,,,,,,d,,,d,d,d,,d,,,,,,,,,,d
,d,,d,d,,d,d,d,, ,d,,d,d,d,,,d, , , ,,, ,,,d,,,d,,,d,,,d,,,d,,, ,,,,,,d,,,d,d,d,,d,,,d,d,d, ,d,d,,d
,d,d,d,d,,d,d,d,d,d,,,d,d,d,d,d,, , , , , ,,,d,,,,,d,,d,,d,,,,,d,, , ,,,,,,d,d,d,d,d,,,d,d,d,d,d, ,d,d,d,d
,d,,,,, ,,,,d,,,,,,,d,,,,,, ,,,d,,,,,,d,d,d,,,,,,d,,, ,,,,,,d,,,,,,,d,,,,,,,,,d
,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
,d,,,,, ,,,,d,,,,,,,d,,,,,, ,,,d,,,,,,d,d,d,,,,,,d,,, ,,,,,,d,,,,,,,d,,,,,,,,,d
,d,d,d,d,,d,d,d,d,d,,,d,d,d,d,d,,,,,, ,,,d,,,, ,d,,d,,d,,,,,d,,, ,,,,,,d,d,d,d,d,,,d,d,d,d,d,,d,d,d,d
,d,,d,d,,d,d,d,,,d,,d,d,d,,,d,,,,,, ,,,d,,,d,,,d,,,d,,,d,,, ,,,,,,d,,,d,d,d,,d,,,d,d,d,,d,d,,d
,d,,,,, , , ,,,d,,d,d,d,,,d,,,,,, ,,,d,,d,,,,d,,,,d,,d,,, ,,,,,,d,,,d,d,d,,d,,,,,,,,,,d
,d,,d,d,d,,d,d,d,d,d,,,,,,,d,,,,,, , , ,,d,,,,,d,,,,,d,, , ,,, ,,,,d,,,,,,,d,d,d,d,d,,d,d,d, ,d
,,d, ,d,d,,d,d,d, ,d,,,d,d,d,d,d,,,,,,,,,d, ,d,d,,,d,,,d,d, ,d,,,, , , ,,,d,d,d,d,d,,,d,,d,d,d,,d,d,,d,
