"#dig Standard floorplan, 19x19",,,,,,,,,,,,,,,,,,,
,,,,,,,,,`,,,,,,,,,,#
,,,,,F,F,F,F,F,F,F,F,F,,,,,,#
,,,,,F,f,f,f,f,f,f,f,F,,,,,,#
,,,,,F,f,f,c,c,c,f,f,F,,,,,,#
,,,,,F,f,f,c,_,c,f,f,F,,,,,,#
,,,,,F,f,f,c,p,c,f,f,F,,,,,,#
,,,,,F,f,f,c,p,c,f,f,F,,,,,,#
,,,,,F,f,c,c,f,c,c,f,F,,,,,,#
,,,,,F,f,c,f,f,f,c,f,F,,,,,,#
`,`,`,`,`,F,f,c,f,#,f,c,f,F,`,`,`,`,`,#
,,,,,F,f,c,f,f,f,c,f,F,,,,,,#
,,,,,F,f,c,c,c,c,c,f,F,,,,,,#
,,,,,F,f,f,f,f,f,f,f,F,,,,,,#
,,,,,F,F,F,F,F,F,F,F,F,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
,,,,,,,,,`,,,,,,,,,,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
