#build start(15;15;Top left corner of central staircase) Basic embarking starter kit of workshops and a trade depot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`,`,`,`,`,`,`,`,`,`,`,`,`,`,~,~,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,,`,`,`,,,,,,,,,,,,,,,,,,,,,,`,#
`,`,wu,`,,`,wh,`,,,,,,,,,,,,,,,,,,,,,,`,#
`,`,`,`,,`,`,`,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,`,`,`,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,`,wn,`,,,,,,,,,,,,,,,`,`,`,,`,`,`,,`,`,`,`,#
`,`,`,`,,,,,,,,,,,,,,,`,wm,`,,`,wr,`,,`,wt,`,`,#
`,,,,,,,,,,,,,,,,,,`,`,`,,`,`,`,,`,`,`,`,#
`,`,`,`,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,`,we,`,,,,,,,,,,,,,,,`,`,`,,`,`,`,,`,`,`,`,#
`,`,`,`,,,,,,,,,,,,,,,`,wm,`,,`,wr,`,,`,wt,`,`,#
`,,,,,,,,,,,,,,,,,,`,`,`,,`,`,`,,`,`,`,`,#
`,,,,,,,,,,,,,,`,`,,,,,,,,,,,,,,`,#
~,,,,,,,,,,,,,`,~,~,`,,,,,,`,`,`,,,,,~,#
~,,,,,,,,,,,,,`,~,~,`,,,,,,`,wl,`,,,,,~,#
`,,,,,,,,,,,,,,`,`,,,,,,,`,`,`,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,`,`,`,,`,`,`,,`,`,`,`,#
`,,,,,,,,,,,,,,,,,,`,wc,`,,`,wc,`,,`,wb,`,`,#
`,,,,,,,,,,,,,,,,,,`,`,`,,`,`,`,,`,`,`,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,`,`,`,`,`,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,`,`,`,`,`,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,`,`,D,`,`,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,`,`,`,`,`,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,`,`,`,`,`,,,,,,,,,,,,,,,,,,,,,,,,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,~,~,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
